BRAND,STATE,TALUKA,DISTRICT,COUNTER_CODE,LAT,LONG,COUNTER_POTENTIAL
BANGUR,Delhi,ROHINI,DELHI,309752,28.7817387,77.0969509,100
BANGUR,Delhi,ROHINI,DELHI,807061,28.743802,77.145615,300
BANGUR,Delhi,ROHINI,DELHI,845166,28.843843,77.089345,700
BANGUR,Delhi,ROHINI,DELHI,831935,28.854545,77.089019,700
BANGUR,Delhi,ROHINI,DELHI,806844,28.747328,77.179653,100
BANGUR,Delhi,ROHINI,DELHI,809516,28.749225,77.200414,80
BANGUR,Delhi,ROHINI,DELHI,820194,28.821812,77.170822,120
BANGUR,Delhi,ROHINI,DELHI,816512,28.771906,77.173241,200
BANGUR,Delhi,ROHINI,DELHI,857717,28.758272,77.185266,1200
BANGUR,Delhi,ROHINI,DELHI,831529,28.8575,77.1077749,150
BANGUR,Delhi,ROHINI,DELHI,829420,28.777864,77.044485,150
BANGUR,Delhi,ROHINI,DELHI,842355,28.852328,77.098028,60
BANGUR,Delhi,ROHINI,DELHI,260013,28.755879,77.152636,200
SHREE,Delhi,ROHINI,DELHI,888709,28.753115,77.075706,1800
SHREE,Delhi,ROHINI,DELHI,294831,28.712736,77.035341,1000
SHREE,Delhi,ROHINI,DELHI,1375,28.7254803,77.0882276,4500
SHREE,Delhi,ROHINI,DELHI,779900,28.7141,77.086834,250
SHREE,Delhi,ROHINI,DELHI,683345,28.699619,77.051686,1000
SHREE,Delhi,ROHINI,DELHI,861426,28.774301,77.100256,100
SHREE,Delhi,ROHINI,DELHI,718343,28.705439,77.098711,1000
SHREE,Delhi,ROHINI,DELHI,903650,28.69908166,77.13799858,100
SHREE,Delhi,ROHINI,DELHI,827421,28.73039939,77.11272411,150
SHREE,Delhi,ROHINI,DELHI,1200,28.716692,77.092379,7000
SHREE,Delhi,ROHINI,DELHI,1861,28.715564,77.089128,3000
SHREE,Delhi,ROHINI,DELHI,805710,28.847355,77.088125,50
SHREE,Delhi,ROHINI,DELHI,894677,28.703767,77.01318,800
SHREE,Delhi,ROHINI,DELHI,825284,28.708381,77.07575,9500
SHREE,Delhi,ROHINI,DELHI,200212,28.729937,77.087369,4600
SHREE,Delhi,ROHINI,DELHI,164364,28.61009,77.01854,1000
SHREE,Delhi,ROHINI,DELHI,779899,28.738472,77.12632186,150
SHREE,Delhi,ROHINI,DELHI,783452,28.794529,77.05185,100
SHREE,Delhi,ROHINI,DELHI,851845,28.64900126,77.02584294,100
SHREE,Delhi,ROHINI,DELHI,857232,28.73828073,77.08320802,125
SHREE,Delhi,ROHINI,DELHI,866970,28.682618,77.05589,4000
SHREE,Delhi,ROHINI,DELHI,801361,28.702102,77.056421,300
SHREE,Delhi,ROHINI,DELHI,880857,28.83878,77.081874,250
SHREE,Delhi,ROHINI,DELHI,299250,28.859946,77.08713,4000
SHREE,Delhi,ROHINI,DELHI,1932,28.848621,77.092866,1250
SHREE,Delhi,ROHINI,DELHI,290328,28.857348,77.107498,800
ROCKSTRONG,Delhi,ROHINI,DELHI,615659,28.753115,77.075706,1800
ROCKSTRONG,Delhi,ROHINI,DELHI,11792,28.73617,77.12519,250
ROCKSTRONG,Delhi,ROHINI,DELHI,312919,28.816917,77.05924,150
ROCKSTRONG,Delhi,ROHINI,DELHI,725397,28.705439,77.098711,1000
ROCKSTRONG,Delhi,ROHINI,DELHI,758272,28.778083,77.054689,700
ROCKSTRONG,Delhi,ROHINI,DELHI,11729,28.689498,77.130665,3500
